time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-07-24T14:35:43.410Z,41.7631,-126.6931,10,4.3,mb,,198,1.893,0.53,us,us2000gcnz,2018-10-09T16:43:29.040Z,"201km WSW of Gold Beach, Oregon",earthquake,3.4,2,0.089,36,reviewed,us,us
2018-07-24T14:33:26.060Z,41.7924,-126.7576,10,3.5,ml,,262,1.933,0.6,us,us2000gcnp,2018-10-09T16:43:29.040Z,"204km WSW of Gold Beach, Oregon",earthquake,9.4,2,0.043,70,reviewed,us,us
2018-07-24T14:28:15.680Z,41.8055,-126.6563,10,5.2,mww,,192,1.856,0.91,us,us2000gcng,2018-10-09T16:43:29.040Z,"196km WSW of Gold Beach, Oregon",earthquake,8.6,1.9,0.042,54,reviewed,us,us
2018-07-24T12:16:31.960Z,41.7122,-126.7798,10,4.9,mww,,193,1.969,0.91,us,us2000gck6,2018-10-09T16:43:29.040Z,"209km WSW of Gold Beach, Oregon",earthquake,6.7,2,0.039,62,reviewed,us,us
2018-06-10T11:05:41.460Z,40.717,-127.1391,11.24,2.9,ml,,257,2.146,0.73,us,us1000emnz,2018-08-29T16:36:38.040Z,"243km W of Ferndale, California",earthquake,9.4,9.3,0.048,56,reviewed,us,us
2018-05-15T23:39:24.330Z,41.9951,-126.8169,10,3.8,mb,,258,1.94,0.65,us,us1000e808,2018-08-15T19:46:52.040Z,"203km WSW of Gold Beach, Oregon",earthquake,6.4,2,0.18,8,reviewed,us,us
2018-05-14T08:44:25.750Z,40.6876,-127.0819,10,3.1,ml,,239,2.1,0.79,us,us1000e4k8,2018-08-15T19:46:49.040Z,"238km W of Ferndale, California",earthquake,5.5,2,0.048,58,reviewed,us,us
2018-05-12T17:19:27.070Z,41.4913,-127.006,8.38,3,ml,,244,2.198,0.91,us,us1000e75k,2018-08-08T15:22:16.040Z,"234km WSW of Brookings, Oregon",earthquake,4.1,9.3,0.049,54,reviewed,us,us
2018-03-02T12:28:55.830Z,42.4023,-126.3874,10,3.3,ml,,240,1.586,0.95,us,us1000d2b7,2018-05-27T01:06:09.040Z,"159km WSW of Port Orford, Oregon",earthquake,2.7,2,0.042,76,reviewed,us,us
2017-10-30T11:25:41.430Z,42.6349,-126.4711,10,2.9,ml,,259,1.591,1.34,us,us1000ayhg,2018-01-24T01:24:59.040Z,"162km W of Port Orford, Oregon",earthquake,9.7,2,0.048,56,reviewed,us,us
